,BranchLenght,BranchPerimeter,DecayRange,PercBarkAttached,HostPlant,VegetationSubtype,VegetationType,LocName,Exposure,Elevation,CanopyHeight,PercCanopyCover,PerLeafLitter,CollectionMonth,CollectionYear
Sample1439,74,66.5,1,0,Pinus_canariensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
Sample1440,160,110,1,3,Pinus_canariensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
Sample1441,150,105.5,1,0,Pinus_canariensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
Sample1447,146,73.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Sep,Y2012
Sample1448,69,35.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Sep,Y2012
Sample1450,220,112,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1451,75,40,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1452,156,81,1,95,Chamaecytisus_proliferus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Sep,Y2012
Sample1453,130,68.5,1.3,40,Chamaecytisus_proliferus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1454,61,34.5,1,80,Chamaecytisus_proliferus,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1461,61,38,2,30,Morella_faya,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1465,235,127,2.2,70,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1466,75,47.5,2,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1467,129,75,2,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2012
Sample1468,79,50.5,1.5,2,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2013
Sample1469,64,43.5,2.8,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2013
Sample1470,115,69.5,2.5,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Nov,Y2013
Sample1471,25,25,2.8,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1472,176,101,1,1,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1473,99,63,1.3,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1474,270,149,1,5,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1475,48,38.5,2.3,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Dec,Y2013
Sample1476,120,75,1.5,30,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1477,31,31,2.5,70,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1478,61,46.5,2.3,25,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1480,24,29,1.2,50,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1481,31,33,1.2,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1482,50,43,2.2,0,Pinus_canariensis,PinarMixto,Pinar,LomoColorado,N,1431,35,50,90,Oct,Y2014
Sample1483,81,41,1,90,Adenocarpus_viscosus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Sep,Y2012
Sample1484,60,31,1.2,70,Adenocarpus_viscosus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Sep,Y2012
Sample1485,62,32.5,1,100,Adenocarpus_viscosus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Sep,Y2012
Sample1489,59,33,1,15,Chamaecytisus_proliferus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Sep,Y2012
Sample149,63,17,3,70,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1491,110,59.5,1,70,Chamaecytisus_proliferus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Sep,Y2012
Sample1493,90,50.5,1.3,70,Chamaecytisus_proliferus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1494,52,32,1.3,25,Chamaecytisus_proliferus,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1498,70,43,1,0,Pinus_canariensis,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1499,46,31.5,2.8,0,Todaroa_montana,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample150,60,13.5,3,90,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1500,90,54,1.7,0,Todaroa_montana,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1501,58,38.5,1,0,Todaroa_montana,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1502,42,31,1.8,0,Todaroa_montana,PinarTipico,Pinar,Monta–aIsmana,N,1854,35,45,90,Jun,Y2014
Sample1503,72,36.5,1,90,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1505,150,76.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1506,99,51.5,1,70,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1507,147,76,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1508,126,66,1.5,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample151,30,13.5,1.8,30,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1510,130,69,1.2,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1511,206,107.5,1,95,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1512,52,31,1,50,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Dec,Y2013
Sample1514,113,62.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Dec,Y2013
Sample1518,157,86.5,1.5,90,Erica_arborea,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1519,207,112,1.8,100,Erica_arborea,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample152,19,22.5,1.8,0,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1523,190,105.5,1,70,Ilex_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
Sample1526,184,104,1.2,35,Morella_faya,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1527,211,118,2.2,40,Morella_faya,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1528,133,79.5,2.2,65,Morella_faya,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample1529,144,85.5,2,70,Morella_faya,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Sep,Y2013
Sample153,51,8.5,1.2,65,Euphorbia_lamarckii,Cardonal,TabaibalCardonal,PuntaSol,N,43,3,50,5,Mar,Y2013
Sample1530,100,64,1.7,35,Pinus_canariensis,PinarMixto,Pinar,Monta–aGrande,N,1199,35,75,95,Oct,Y2012
